X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,詳細情報,カテゴリ,アイコン番号,施設ID
135.518927,34.70590439,毛馬桜之宮公園　公衆トイレ４,けまさくらのみやこうえん　こうしゅうといれ４,毛馬桜之宮公園　公衆トイレ４（けまさくらのみやこうえん　こうしゅうといれ４）,,都島区,,公衆トイレ/車いす対応公衆便所,209,29339
135.5226104,34.70690725,都島中央公園　公衆トイレ,みやこじまちゅうおうこうえん　こうしゅうといれ,都島中央公園　公衆トイレ（みやこじまちゅうおうこうえん　こうしゅうといれ）,,都島区,,公衆トイレ/車いす対応公衆便所,209,29496
135.5161607,34.71121214,鶴満寺公園　公衆トイレ,かくまんじこうえん　こうしゅうといれ,鶴満寺公園　公衆トイレ（かくまんじこうえん　こうしゅうといれ）,,北区,,公衆トイレ/車いす対応公衆便所,209,29415
135.5196196,34.71216211,長柄東公園　公衆トイレ,ながらひがしこうえん　こうしゅうといれ,長柄東公園　公衆トイレ（ながらひがしこうえん　こうしゅうといれ）,,北区,,公衆トイレ/車いす対応公衆便所,209,29486
135.5040449,34.71514647,本庄公園　公衆トイレ,ほんじょうこうえん　こうしゅうといれ,本庄公園　公衆トイレ（ほんじょうこうえん　こうしゅうといれ）,,北区,,公衆トイレ/車いす対応公衆便所,209,29481
135.5220801,34.7164815,毛馬桜之宮公園　公衆トイレ５,けまさくらのみやこうえん　こうしゅうといれ５,毛馬桜之宮公園　公衆トイレ５（けまさくらのみやこうえん　こうしゅうといれ５）,,都島区,,公衆トイレ/車いす対応公衆便所,209,29340
135.5365729,34.71338719,内代公園　公衆トイレ,うちんだいこうえん　こうしゅうといれ,内代公園　公衆トイレ（うちんだいこうえん　こうしゅうといれ）,,都島区,,公衆トイレ/車いす対応公衆便所,209,29493
135.5220451,34.72271003,毛馬中央公園　公衆トイレ,けまちゅうおうこうえん　こうしゅうといれ,毛馬中央公園　公衆トイレ（けまちゅうおうこうえん　こうしゅうといれ）,,都島区,,公衆トイレ/車いす対応公衆便所,209,29497
135.5636551,34.71153225,花博記念公園鶴見緑地　公衆トイレ１７,はなはくきねんこうえんつるみりょくち　こうしゅうといれ１７,花博記念公園鶴見緑地　公衆トイレ１７（はなはくきねんこうえんつるみりょくち　こうしゅうといれ１７）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29412
135.5729917,34.71093411,花博記念公園鶴見緑地　公衆トイレ９,はなはくきねんこうえんつるみりょくち９,花博記念公園鶴見緑地　公衆トイレ９（はなはくきねんこうえんつるみりょくち９）,,大阪市以外,,公衆トイレ/車いす対応公衆便所,209,29404
135.5692679,34.71069558,花博記念公園鶴見緑地　公衆トイレ１１,はなはくきねんこうえんつるみりょくち１１,花博記念公園鶴見緑地　公衆トイレ１１（はなはくきねんこうえんつるみりょくち１１）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29406
